,id,name,slug,website,place,functioning,secure,country,mp3,place_name,place_geo,place_geo_x,place_geo_y,geometry,len_mp3,trail_mp3
6491,SheBoT2C,Colourful,colourful,http://www.colourfulradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://mp3.colourfulradio.com/colourful,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6493,aigInGQb,D3EP Radio Network,d3ep,http://www.d3ep.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://51.255.161.224:8005/192,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),30,True
6494,slpzl2u4,Delite Radio,delite-radio,http://deliteradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://live3.istoikona.net:8152/live,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),36,True
6495,Qtxme8UU,Different Drumz,differentdrumz,http://www.differentdrumz.co.uk/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://andromeda.shoutca.st:8031/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6496,j0UaGyD5,DirtyBass.FM,dirtybass,http://dirtybass.fm/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://dirtybass.fm:8000/dirtybass.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),38,True
6497,5PBcWzU8,DnB Noize,dnbnoize,http://www.dnbnoize.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://www.dnbnoize.com:8000/dnbnoize,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),37,True
6498,VywvHOwp,Drum And Bass Worldwide,drumandbassworldwide,http://www.drumandbassworldwide.co.uk/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://176.58.99.7:8000/dnbww128.mp3?.mp3=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),42,True
6502,k8G2W3hO,Fantastic Radio,fantastic-radio,https://www.fantasticradio.co.uk,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://sc4.easywebcommunications.com:8181/;listen.pls?no-cache=1567237261,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),73,True
6504,yX22w4qb,French Radio London,frenchradiolondon,http://www.frenchradiolondon.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://radio.canstream.co.uk:8100/live.mp3?.mp3=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),48,True
6505,aELRUt2A,Fun Kids,fun-kids,http://www.funkidslive.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://edge-ads-02-gos1.sharp-stream.com/funkids.mp3?device=radiogarden,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),71,True
6509,kN2PiPY4,Hala London,hala-london,http://halalondon.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://streaming.broadcastradio.com:8990/halalondon,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),51,True
6510,6zBD4ETa,Heart 106.2 FM,heart1062,http://www.heart1062.co.uk/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://ice-sov.musicradio.com/HeartLondonMP3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),44,True
6511,jBz0VEXV,Helmedia Inc,helmedia-inc,http://www.helmedia-inc.net/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://109.169.26.139:8234/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),33,True
6512,icGmok65,Chill Digital Radio,helpmechill,http://www.helpmechill.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://ice-sov.musicradio.com/ChillMP3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),38,True
6513,A4WC0ClO,Hit45s.com - All Oldies Radio,hit45s-com-all-oldies-radio,http://www.hit45s.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://kastos.cdnstream.com/1345_128mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6514,Kk1xtdz5,House Music Radio,house-music-radio,http://housemusicradio.uk,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://uk4-vn.mixstream.net:8128/stream.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),43,True
6516,tPHw5EiA,Hoxton Radio,hoxton-radio,http://hoxtonradio.com/about/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://99.198.118.250:8014/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),33,True
6518,TBCO2fIq,Jamoneradio,jamoneradio,https://jamoneradio.online,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://streamingv2.shoutcast.com/jamoneradio,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),44,True
6519,4z3Fr2Ck,Jazz FM,jazzfm,http://www.jazzfm.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://edge-ads-02-gos1.sharp-stream.com/jazzfmmobile.aac,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),57,True
6520,exzyQzbD,JC Ministries Christian Broadcast,jc-ministries-christian-broadcast,http://www.hounslowmission.org.uk/jcministries/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://streams.radio.co/sfa7d8ed94/listen,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),41,True
6521,eGv59ZgU,KISS 100,kiss-fm-100-0,https://planetradio.co.uk/kiss,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://live-kiss.sharp-stream.com/kissnational.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),50,True
6523,55E7G1g0,Kilburn to Kensal Radio,ktokradio,http://ktokradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://195.10.228.6:8018/live.mp3?.mp3=,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6525,e8CURqFY,LBC London,lbc,http://www.lbc.co.uk/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://media-the.musicradio.com/LBCLondon,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),41,True
6526,sxmBAteg,LBC London News,lbc-london-news,https://www.lbc.co.uk/lbcnews,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://media-the.musicradio.com/LBC1152,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6527,szMy8lmc,LBC UK,lbc-uk,https://www.lbc.co.uk,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://media-the.musicradio.com/LBCUK,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),37,True
6529,jC395qYj,LFHH,lfhh,http://lfhh.org,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://hyades.shoutca.st:8043/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),36,True
6530,5y8oE78v,London Greek Radio,lgr-london-greek-radio,http://www.lgr.co.uk,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://live3.istoikona.net:8203/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),38,True
6532,KqCByUaM,London Music Radio,london-music-radio,http://www.londonmusicradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://londonmusicradio.out.airtime.pro:8000/londonmusicradio_a,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),63,True
6533,xML1nVY2,London Soul Radio,london-soul-radio,http://www.londonsoulradio.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://londonsoulradio.out.airtime.pro:8000/londonsoulradio_a,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),61,True
6534,GsLsdTag,Lyca Dilse 1035,lyca-dilse-1035,http://www.lycadilse.com/liveplayer/1035.html,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://edge-audio-02-gos1.sharp-stream.com/1035.mp3?device=ukradioplayer,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),72,True
6535,kJF76Enn,LycaRadio 1458,lycaradio-1458,http://www.lycaradio.com/,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://direct.sharp-stream.com/1458.mp3,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),39,True
6536,TyE6Nc5u,Magic FM,magic-fm,http://www.radio-uk.co.uk/magic-fm,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://icy-e-bz-08-boh.sharp-stream.com/magic1054.aac,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),53,True
6537,nO7ZFoFH,Matryoshka Radio,matryoshka-radio,http://matryoshka.fm/en,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://213.159.214.57:8000/matryoshka,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),37,True
6540,QgErxEFE,MoveDaHouse,movedahouse,http://movedahouse.com,"{'name': 'London', 'geo': [-0.1277583, 51.5073509]}",True,False,United Kingdom,http://uk7.internet-radio.com:8000/stream,London,"[-0.1277583, 51.5073509]",-0.1277583,51.5073509,POINT (-0.1277583 51.5073509),41,True
